dataset,model,fold,roc_auc,accuracy,f1_weighted
MNIST,gbm,3,0.9911666758525248,0.8935,0.8935966744728149
MNIST,gbm,4,0.9906180133279113,0.887,0.8868838565078135
HIGGS,gbm,0,0.7828163992869877,0.7065,0.7060434325727554
HIGGS,gbm,1,0.7560894780447389,0.6865,0.6849043166827757
HIGGS,gbm,2,0.7581411463433004,0.691,0.6899910035985606
HIGGS,gbm,3,0.7725429941502849,0.703,0.7024914255495959
HIGGS,gbm,4,0.7818011096884336,0.7065,0.7063156399157346
Adult Income,xgboost,0,0.9296395386169813,0.8727607738765483,0.8684890595559621
Adult Income,xgboost,1,0.9277239971870089,0.8723513153854028,0.8685013167896063
Adult Income,xgboost,2,0.9279289877657506,0.8727477477477478,0.8680778291546615
Adult Income,xgboost,3,0.9311821949785696,0.875,0.8709441122021058
Adult Income,xgboost,4,0.9328131748903491,0.8783783783783784,0.8746507176755065
Heart Disease,xgboost,0,0.8874458874458875,0.8360655737704918,0.8344442442803099
Heart Disease,xgboost,1,0.9264069264069265,0.8032786885245902,0.803596664782363
Heart Disease,xgboost,2,0.8755411255411256,0.7540983606557377,0.7544952963124677
Heart Disease,xgboost,3,0.8641975308641975,0.75,0.7503496503496504
Heart Disease,xgboost,4,0.8698092031425365,0.7833333333333333,0.7799080195458465
Mushroom,xgboost,0,1.0,0.8424615384615385,0.8374969495253419
Mushroom,xgboost,1,1.0,1.0,1.0
Mushroom,xgboost,2,1.0,0.9963076923076923,0.9963071461083295
Mushroom,xgboost,3,0.9999999999999999,1.0,1.0
Mushroom,xgboost,4,0.9952300900679267,0.7869458128078818,0.7790663140256102
Telco Customer Churn,xgboost,0,0.8415123097987547,0.7885024840312278,0.7795118267908694
Telco Customer Churn,xgboost,1,0.8462734764525045,0.7977288857345636,0.78900481416587
Telco Customer Churn,xgboost,2,0.8174300550259629,0.7764371894960965,0.7716602352811588
Telco Customer Churn,xgboost,3,0.8313737679864268,0.8018465909090909,0.7935095232613676
Telco Customer Churn,xgboost,4,0.8330712977999358,0.7990056818181818,0.790340281491735
Breast Cancer,xgboost,0,0.99475925319358,0.956140350877193,0.9562368871555263
Breast Cancer,xgboost,1,0.9868981329839501,0.9649122807017544,0.9647382344750765
Breast Cancer,xgboost,2,1.0,1.0,1.0
Breast Cancer,xgboost,3,0.9877645502645502,0.9649122807017544,0.9649122807017544
Breast Cancer,xgboost,4,0.9979879275653923,0.9734513274336283,0.9735133518668246
Credit Card Fraud,xgboost,0,0.9998330829577701,0.9995,0.9995356516761474
Credit Card Fraud,xgboost,1,1.0,1.0,1.0
Credit Card Fraud,xgboost,2,0.9597729928225672,0.9995,0.9994500625782229
Credit Card Fraud,xgboost,3,0.999498997995992,0.9995,0.9995277151368357
Credit Card Fraud,xgboost,4,0.9931112224448898,0.9985,0.998050563204005
IMDB Movie Reviews,xgboost,0,0.9241998281792096,0.847,0.8468971386381395
IMDB Movie Reviews,xgboost,1,0.9194082483980562,0.8425,0.8423116629747037
IMDB Movie Reviews,xgboost,2,0.9189541934574084,0.846,0.8459765905017921
IMDB Movie Reviews,xgboost,3,0.9257590168410378,0.848,0.8479768945212494
IMDB Movie Reviews,xgboost,4,0.9177130432782367,0.8335,0.8334244300510814
MNIST,xgboost,0,0.9963975029281279,0.9375,0.9375052373699724
MNIST,xgboost,1,0.9965956102348578,0.9395,0.9395111658390772
MNIST,xgboost,2,0.9968518133963314,0.9385,0.9383197807724509
