dataset,task_baseline,model,n_samples_baseline,n_features_baseline,training_time_baseline,test_accuracy_baseline,test_balanced_accuracy_baseline,test_f1_weighted_baseline,test_roc_auc_baseline,cv_accuracy_mean_baseline,cv_accuracy_std_baseline,cv_balanced_accuracy_mean_baseline,cv_balanced_accuracy_std_baseline,cv_f1_weighted_mean_baseline,cv_f1_weighted_std_baseline,cv_roc_auc_mean_baseline,cv_roc_auc_std_baseline,tuned_baseline,task_tuned,n_samples_tuned,n_features_tuned,training_time_tuned,test_accuracy_tuned,test_balanced_accuracy_tuned,test_f1_weighted_tuned,test_roc_auc_tuned,cv_accuracy_mean_tuned,cv_accuracy_std_tuned,cv_balanced_accuracy_mean_tuned,cv_balanced_accuracy_std_tuned,cv_f1_weighted_mean_tuned,cv_f1_weighted_std_tuned,cv_roc_auc_mean_tuned,cv_roc_auc_std_tuned,tuned_tuned,optuna_metric,best_params,test_accuracy_delta,test_f1_weighted_delta,test_roc_auc_delta
Adult Income,classification,adaboost,48842,14,4.506186416838318,0.8578155389497389,0.75615698644812,0.8491061902039372,0.9115389671663074,0.8569469382372444,0.00247677183509092,0.7604039414910685,0.00566813907446709,0.849360942763726,0.0030379748559068846,0.9121089846769717,0.0029582516317640923,False,classification,48842,14,4.445667792111635,0.8574060804585935,0.7567672774872425,0.8489311505219239,0.9113258574263896,0.8573564218794028,0.0024124714305017343,0.7586495262962745,0.005675155570325868,0.8492960811173165,0.0030540433675206517,0.9119254190374815,0.002960816471662574,True,0.8573564218794028,"{""n_estimators"": 393, ""learning_rate"": 0.4756192573653293}",-0.0004094584911454868,-0.00017503968201326714,-0.00021310973991783833
Heart Disease,classification,adaboost,303,13,0.14947816613130271,0.819672131147541,0.8143939393939394,0.8184886832797643,0.8971861471861472,0.8017486338797815,0.032786247716934724,0.7967291967291967,0.03772563463164791,0.8000180006585375,0.035013378272290584,0.9000320666987334,0.0323833075209718,False,classification,303,13,0.13003283296711743,0.8032786885245902,0.7884199134199135,0.7948381288216978,0.908008658008658,0.848032786885246,0.035839830018409034,0.8413059163059163,0.03809469149986112,0.8461425706483847,0.03658039741925802,0.9152036235369568,0.026182415333225156,True,0.848032786885246,"{""n_estimators"": 253, ""learning_rate"": 0.02352049414281421}",-0.016393442622950838,-0.02365055445806652,0.010822510822510845
Mushroom,classification,adaboost,8124,22,0.7315067502204329,1.0,1.0,1.0,0.9999999999999999,0.9470532777567261,0.07437292475009241,0.9478493101560878,0.07200843295877174,0.9457697733010612,0.07661161559665292,0.9991508011353023,0.0016983977293952514,False,classification,8124,22,1.2129407080356032,0.9981538461538462,0.9980842911877394,0.9981537159251258,1.0,0.9500151572565365,0.05929094179477017,0.9499233806351184,0.05926537001067789,0.9493340320903136,0.06011037481485579,0.9983880320753501,0.0021652146717299967,True,0.9500151572565365,"{""n_estimators"": 617, ""learning_rate"": 0.22524912924501503}",-0.0018461538461538307,-0.0018462840748741938,1.1102230246251565e-16
Telco Customer Churn,classification,adaboost,7043,19,1.0986837500240654,0.8034066713981547,0.7184750316463872,0.7965886216152982,0.842428117492056,0.8049123128911543,0.005643815669143382,0.7183706835332417,0.008793327494234462,0.7975597523642322,0.005808715504699334,0.8485878450937185,0.011293856083284112,False,classification,7043,19,1.5735172920394689,0.801277501774308,0.7153181430675037,0.7942691000469841,0.8425869952724172,0.8049129177688883,0.00907707963515408,0.7192301313849798,0.00989071617886039,0.7978400466208951,0.008749268339709881,0.8482155070550933,0.011825282147310538,True,0.8049129177688883,"{""n_estimators"": 581, ""learning_rate"": 0.4866274565666472}",-0.002129169623846683,-0.0023195215683140535,0.0001588777803611663
Breast Cancer,classification,adaboost,569,30,0.44463104102760553,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.9871031746031746,0.9771619313771154,0.008927576724706666,0.9722615408211542,0.009829272421917761,0.9770779026268908,0.008967744319169652,0.9955133470937598,0.004819178329372466,False,classification,569,30,0.9234182080253959,0.9736842105263158,0.9642857142857143,0.9734654095556351,0.988095238095238,0.9771619313771154,0.008927576724706666,0.9722615408211542,0.009829272421917761,0.9770779026268908,0.008967744319169652,0.9955139753248172,0.004671458326016691,True,0.9771619313771154,"{""n_estimators"": 795, ""learning_rate"": 0.27436197067336077}",0.0,0.0,0.0009920634920633775
Credit Card Fraud,classification,adaboost,10000,29,7.345188332954422,0.999,0.99949924887331,0.999124749498998,0.99916541478885,0.9993000000000001,0.0005099019513592702,0.8582331580202636,0.17392357466729347,0.9991728360534478,0.0006899057390742044,0.9935956080078702,0.012205652579148189,False,classification,10000,29,7.122849541949108,0.999,0.99949924887331,0.999124749498998,0.99916541478885,0.9993000000000001,0.0005099019513592702,0.8582331580202636,0.17392357466729347,0.9991728360534478,0.0006899057390742044,0.9945474616400218,0.010551485308534609,True,0.9993000000000001,"{""n_estimators"": 388, ""learning_rate"": 0.40565420834632476}",0.0,0.0,0.0
IMDB Movie Reviews,classification,adaboost,10000,33624,22.16994316596538,0.793,0.7938990617864762,0.7917238755327138,0.8836454210959526,0.7849999999999999,0.007120393247567167,0.7858694902083153,0.007010738165785298,0.7836935085445247,0.007501754022422286,0.8687062134518276,0.00526974423694949,False,classification,10000,33624,42.16785345808603,0.814,0.8146925778019141,0.8133452306926999,0.9006669807046652,0.8003,0.007325298628724974,0.8009656168396375,0.007288489927749967,0.7996284742169684,0.007430454648277481,0.8835511096842719,0.005418626017269875,True,0.8003,"{""n_estimators"": 765, ""learning_rate"": 0.4676450700180151}",0.020999999999999908,0.02162135515998609,0.017021559608712655
MNIST,classification,adaboost,10000,151,40.1280868339818,0.7455,0.7411921180459815,0.7472287028595311,0.9440565730984254,0.7502,0.004578209256903843,0.7466320216345166,0.0047075100750107075,0.7510517019194064,0.005234383857672312,0.9473192465822228,0.000839473001181299,False,classification,10000,151,78.00196512509137,0.7695,0.7661639134553966,0.7705508846656719,0.9499242909336629,0.7709999999999999,0.004289522117905439,0.7679282527188819,0.004662362719987468,0.7718588632970933,0.003876074023103429,0.9521633536615992,0.002053097398639355,True,0.7709999999999999,"{""n_estimators"": 790, ""learning_rate"": 0.464746719891871}",0.02399999999999991,0.023322181806140763,0.00586771783523754
HIGGS,classification,adaboost,10000,28,6.047373249894008,0.6605,0.6553061685621753,0.6580722149252215,0.7183455097788156,0.6751,0.010818502669038825,0.6713389068815746,0.01151154910104092,0.6738181680721456,0.011316830465726967,0.7456591097386458,0.013675837988444533,False,classification,10000,28,7.379087500041351,0.6585,0.6534935100800883,0.6562436749897727,0.7195018955085235,0.6807,0.011939849245279402,0.677080163691597,0.012686949741718667,0.6795249526640108,0.012465378067206573,0.747466144460345,0.013833012589022444,True,0.6807,"{""n_estimators"": 500, ""learning_rate"": 0.4888959456967403}",-0.0020000000000000018,-0.0018285399354488474,0.0011563857297078872
Adult Income,classification,gbm,48842,14,2.707468874985352,0.86764254273723,0.7758079204645096,0.8607715132195612,0.9214262230484529,0.866999695421233,0.002317802828540935,0.7765712052631125,0.004308192696072616,0.8604155639904331,0.002615822093779704,0.9212245350030146,0.0021961984370442453,False,classification,48842,14,36.633335707942024,0.8763435356740711,0.8005816039643419,0.8721327084248337,0.9286683855888198,0.8751485020601614,0.0023089758242251595,0.8013111977333974,0.004232257664708443,0.8712808674326189,0.0025240016280014353,0.928878152317418,0.0018124899421310247,True,0.8751485020601614,"{""n_estimators"": 766, ""learning_rate"": 0.01933471735215724, ""max_depth"": 6, ""subsample"": 0.7209101263105339}",0.008700992936841123,0.011361195205272456,0.007242162540366914
